ineff,eff,alpha,NTU,C_r,T_C_out,T_H_out,m_dot_C,m_dot_H,ConvSteps,run
0.0108,0.9892,0.3000,100,0.3000,650,471.94,0.0174,0.0575,60,1247
-0.0093,1.0093,0.3000,100,0.4000,650,404.17,0.0176,0.0432,60,1248
-0.0183,1.0183,0.3000,100,0.5000,650,354.3,0.0168,0.0345,60,1249
0.2561,0.7439,0,1.5849,0.3000,496.16,516.06,1.0964,3.6535,60,125
-5.8680e-06,1.0000,0.3000,100,0.6000,650,289.6,0.0174,0.0288,38,1250
-0.0143,1.0143,0.3000,100,0.7000,650,218.62,0.0176,0.0247,60,1251
7.1086e-06,1.0000,0.3000,100,0.8000,650,169.57,0.0174,0.0216,35,1252
8.1553e-04,0.9992,0.3000,100,0.9000,649.54,110.08,0.0174,0.0192,15,1253
0.0115,0.9885,0.3000,100,1,635.5,57.844,0.0177,0.0172,60,1254
0.0205,0.9795,0.4000,100,0.0100,650,644.34,0.0167,1.7307,60,1255
-0.0498,1.0498,0.4000,100,0.1000,650,585.74,0.0177,0.1731,60,1256
-0.0018,1.0018,0.4000,100,0.2000,650,532.25,0.0170,0.0865,60,1257
1.6044e-05,1.0000,0.4000,100,0.3000,650,469.85,0.0174,0.0577,60,1258
-0.0134,1.0134,0.4000,100,0.4000,650,422.19,0.0162,0.0433,60,1259
0.2742,0.7258,0,1.5849,0.4000,485.46,475.79,1.0960,2.7399,60,126
0.0038,0.9962,0.4000,100,0.5000,650,359.05,0.0170,0.0345,60,1260
4.4321e-06,1.0000,0.4000,100,0.6000,650,289.66,0.0174,0.0288,60,1261
2.3348e-05,1.0000,0.4000,100,0.7000,650,229.63,0.0174,0.0247,37,1262
0.0019,0.9981,0.4000,100,0.8000,650,173.91,0.0172,0.0216,60,1263
0.0015,0.9985,0.4000,100,0.9000,649.12,110.5,0.0174,0.0192,15,1264
0.0216,0.9784,0.4000,100,1,634.88,65.022,0.0174,0.0173,16,1265
