ineff,eff,alpha,NTU,C_r,T_C_out,T_H_out,m_dot_C,m_dot_H,ConvSteps,run
0.0096,0.9904,0.1000,100,1,645.39,64.982,0.0174,0.0172,60,1232
-0.0455,1.0455,0.2000,100,0.0100,650,643.81,0.0171,1.7280,60,1233
-0.0019,1.0019,0.2000,100,0.1000,650,589.82,0.0174,0.1728,20,1234
0.0141,0.9859,0.2000,100,0.2000,650,527.91,0.0179,0.0864,60,1235
0.0153,0.9847,0.2000,100,0.3000,650,472.82,0.0173,0.0576,60,1236
-0.0063,1.0063,0.2000,100,0.4000,650,409.15,0.0173,0.0432,60,1237
0.0161,0.9839,0.2000,100,0.5000,650,360.88,0.0170,0.0346,60,1238
0.0197,0.9803,0.2000,100,0.6000,650,306.21,0.0169,0.0288,60,1239
0.2386,0.7614,0,1.5849,0.2000,506.65,558.57,1.0967,5.4801,60,124
-5.2380e-05,1.0001,0.2000,100,0.7000,650,229.49,0.0174,0.0247,26,1240
4.0792e-05,1.0000,0.2000,100,0.8000,650,169.52,0.0174,0.0216,14,1241
6.6613e-04,0.9993,0.2000,100,0.9000,649.67,109.95,0.0173,0.0192,13,1242
0.0109,0.9891,0.2000,100,1,634.22,59.134,0.0174,0.0173,60,1243
0.0113,0.9887,0.3000,100,0.0100,650,644.13,0.0172,1.7291,60,1244
0.0395,0.9605,0.3000,100,0.1000,650,592.96,0.0172,0.1729,60,1245
-0.0055,1.0055,0.3000,100,0.2000,650,529.02,0.0174,0.0865,60,1246
-0.0133,1.0133,0.3000,100,0.3000,650,472.95,0.0169,0.0577,60,1247
0.0432,0.9568,0.3000,100,0.4000,650,424.73,0.0170,0.0432,60,1248
2.8591e-05,1.0000,0.3000,100,0.5000,650,347.23,0.0175,0.0346,60,1249
0.2560,0.7440,0,1.5849,0.3000,496.2,516.08,1.0960,3.6538,60,125
0.0041,0.9959,0.3000,100,0.6000,650,297.07,0.0171,0.0288,60,1250
0.0104,0.9896,0.3000,100,0.7000,650,239.74,0.0171,0.0247,60,1251
-0.0213,1.0213,0.3000,100,0.8000,649.97,171.25,0.0170,0.0215,60,1252
-0.0078,1.0078,0.3000,100,0.9000,647.36,96.883,0.0177,0.0193,60,1253
0.0356,0.9644,0.3000,100,1,646.04,93.889,0.0168,0.0172,60,1254
-0.0113,1.0113,0.4000,100,0.0100,650,643.96,0.0173,1.7307,60,1255
-0.0239,1.0239,0.4000,100,0.1000,650,587.52,0.0177,0.1731,60,1256
-0.0198,1.0198,0.4000,100,0.2000,650,529.86,0.0170,0.0865,60,1257
-0.0080,1.0080,0.4000,100,0.3000,650,470.24,0.0172,0.0577,60,1258
-0.0407,1.0407,0.4000,100,0.4000,650,395.97,0.0177,0.0433,60,1259
0.2741,0.7259,0,1.5849,0.4000,485.59,475.84,1.0956,2.7400,60,126
-0.0072,1.0072,0.4000,100,0.5000,650,344.78,0.0175,0.0346,60,1260
0.0086,0.9914,0.4000,100,0.6000,650,303.25,0.0169,0.0290,60,1261
0.0204,0.9796,0.4000,100,0.7000,650,246.97,0.0170,0.0249,60,1262
-0.0043,1.0043,0.4000,100,0.8000,649.73,162.85,0.0176,0.0217,60,1263
-0.0243,1.0243,0.4000,100,0.9000,646.17,103.67,0.0171,0.0192,60,1264
0.0457,0.9543,0.4000,100,1,637.68,86.71,0.0169,0.0170,60,1265
0.0105,0.9895,0.5000,100,0.0100,650,644.22,0.0169,1.7313,60,1266
-0.0058,1.0058,0.5000,100,0.1000,650,588.91,0.0175,0.1731,60,1267
