ineff,eff,alpha,NTU,C_r,T_C_out,T_H_out,m_dot_C,m_dot_H,ConvSteps,run
-0.0026,1.0026,0.9,25.119,0.01,650,643.99,0.0691,6.9031,60,947
-0.0023,1.0023,0.9,25.119,0.1,650,589.91,0.0686,0.6898,60,948
-0.00027164,1.0003,0.9,25.119,0.2,650,529.89,0.0692,0.3452,25,949
-0.00010789,1.0001,0.9,25.119,0.3,649.96,469.86,0.0692,0.2301,60,950
-0.0023,1.0023,1,25.119,0.1,650,589.82,0.0691,0.6909,16,959
-0.0036,1.0036,1,25.119,0.3,649.87,469.32,0.0691,0.2304,60,961
-0.0063,1.0063,0,39.811,0.01,650,643.92,0.044,4.3635,60,969
-0.0143,1.0143,0,39.811,0.1,650,589.2,0.0436,0.4364,60,970
-0.0052,1.0052,0,39.811,0.4,650,407.18,0.0439,0.1091,60,973
-0.008,1.008,0,39.811,0.6,650,284.52,0.044,0.0728,60,975
-0.00013012,1.0001,0,39.811,0.7,650,229.94,0.0436,0.0623,60,976
-0.005,1.005,0,39.811,0.9,647.99,102.67,0.0437,0.0483,60,978
-0.0029,1.0029,0.1,39.811,0.01,650,643.99,0.0435,4.331,60,980
-0.00014159,1.0001,0.1,39.811,0.2,650,529.79,0.0436,0.2165,17,982
-7.5104e-05,1.0001,0.1,39.811,0.3,650,469.69,0.0436,0.1443,15,983
-0.0094,1.0094,0.1,39.811,0.5,650,349.55,0.0432,0.0868,60,985
-0.0056,1.0056,0.1,39.811,0.7,650,225.07,0.0439,0.062,60,987
-0.0059,1.0059,0.2,39.811,0.1,650,589.17,0.0439,0.4341,60,992
-0.0055,1.0055,0.2,39.811,0.4,650,408.83,0.0436,0.1085,60,995
-0.0022,1.0022,0.2,39.811,0.7,649.98,228.03,0.0437,0.062,60,998
